b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar
323.0,323.0,0.0,4.38,0.0,262.0,39.275,646.0,0.0,0.0,4830.0,0.0,73.74429223744292,98746.7776,5505.4848,177.29093473404694,4.875268989219705,0.33333333333333326,0.3719270224966002,2.4015525236182422,6.925654794621911,0.08155954701819407,0.0,0.0,0.0
324.0,324.0,0.0,4.38,0.0,262.0,76.735,648.0,0.0,0.0,7481.0,0.0,73.97260273972603,99376.25760000001,5523.0048,177.85512431759471,4.875475953152488,0.33333333333333337,0.18975821082394184,2.394035978491034,6.925670504301832,0.09826634162361907,0.0,0.0,0.0
144.0,144.0,0.0,6.36,0.0,618.0,24.272,288.0,0.0,0.0,2572.0,0.0,22.641509433962263,17234.4384,3339.7632000000003,74.06680852814945,6.858909075208032,0.33333333333333337,4.934026191885024,19.07649725390641,6.901120681937584,0.0891244705782675,0.0,0.0,0.0
144.0,144.0,0.0,6.36,0.0,618.0,38.702,288.0,0.0,0.0,2808.0,0.0,22.641509433962263,17234.4384,3339.7632000000003,74.06680852814945,6.858909075208032,0.33333333333333337,3.0943797149871664,19.07649725390641,6.901120681937584,0.09191477067024736,0.0,0.0,0.0
144.0,144.0,0.0,6.36,0.0,618.0,38.702,288.0,0.0,0.0,2765.0,0.0,22.641509433962263,17234.4384,3339.7632000000003,74.06680852814945,6.858909075208032,0.33333333333333337,3.0943797149871664,19.07649725390641,6.901120681937584,0.09191477067024736,0.0,0.0,0.0
144.0,144.0,0.0,6.36,0.0,618.0,73.581,288.0,0.0,0.0,3399.0,0.0,22.641509433962263,17234.4384,3339.7632000000003,74.06680852814945,6.858909075208032,0.33333333333333337,1.6275761912645015,19.07649725390641,6.901120681937584,0.09858666475568795,0.0,0.0,0.0
211.0,211.0,0.0,6.36,0.0,618.0,24.272,422.0,0.0,0.0,3920.0,0.0,33.17610062893082,39314.9584,5044.2432,111.86751062584912,6.959979512164935,0.33333333333333337,3.266789179295268,12.816552111374866,6.915602519230961,0.08896614509587766,0.0,0.0,0.0
211.0,211.0,0.0,6.36,0.0,618.0,38.702,422.0,0.0,0.0,4428.0,0.0,33.17610062893082,39314.9584,5044.2432,111.86751062584912,6.959979512164935,0.33333333333333337,2.048770269232979,12.816552111374866,6.915602519230961,0.09264465956636467,0.0,0.0,0.0
211.0,211.0,0.0,6.36,0.0,618.0,38.702,422.0,0.0,0.0,4484.0,0.0,33.17610062893082,39314.9584,5044.2432,111.86751062584912,6.959979512164935,0.33333333333333337,2.048770269232979,12.816552111374866,6.915602519230961,0.09264465956636467,0.0,0.0,0.0
211.0,211.0,0.0,6.36,0.0,618.0,73.581,422.0,0.0,0.0,5758.0,0.0,33.17610062893082,39314.9584,5044.2432,111.86751062584912,6.959979512164935,0.33333333333333337,1.0776084445693146,12.816552111374866,6.915602519230961,0.10110782124424257,0.0,0.0,0.0
